tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",RBM10,8241,407,15,0.036855036855036855,2,0.004914004914004914,68,0.16707616707616707,80,0.19656019656019655,3,0.007371007371007371,153,0.3759213759213759,163,0.4004914004914005,10,148,5
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,407,9,0.022113022113022112,2,0.004914004914004914,47,0.11547911547911548,197,0.48402948402948404,5,0.012285012285012284,251,0.6167076167076168,255,0.6265356265356266,4,246,5
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,407,0,0.0,2,0.004914004914004914,133,0.32678132678132676,44,0.10810810810810811,1,0.002457002457002457,180,0.44226044226044225,180,0.44226044226044225,0,180,0
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",DDX3X,1654,407,16,0.03931203931203931,1,0.002457002457002457,72,0.1769041769041769,76,0.18673218673218672,2,0.004914004914004914,151,0.371007371007371,159,0.3906633906633907,8,143,8
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",SUGP1,57794,407,6,0.014742014742014743,3,0.007371007371007371,75,0.18427518427518427,109,0.2678132678132678,0,0.0,187,0.4594594594594595,191,0.4692874692874693,4,185,2
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",PHF5A,84844,407,1,0.002457002457002457,1,0.002457002457002457,42,0.10319410319410319,182,0.44717444717444715,2,0.004914004914004914,227,0.5577395577395577,227,0.5577395577395577,0,226,1
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",RBM39,9584,407,9,0.022113022113022112,7,0.0171990171990172,243,0.597051597051597,5,0.012285012285012284,0,0.0,255,0.6265356265356266,256,0.628992628992629,1,247,8
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",HNRNPK,3190,407,9,0.022113022113022112,1,0.002457002457002457,59,0.14496314496314497,176,0.43243243243243246,2,0.004914004914004914,238,0.5847665847665847,241,0.5921375921375921,3,232,6
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",FUBP1,8880,407,6,0.014742014742014743,6,0.014742014742014743,77,0.1891891891891892,60,0.14742014742014742,1,0.002457002457002457,144,0.3538083538083538,146,0.35872235872235875,2,140,4
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",SF3B1,23451,1052,21,0.019961977186311788,5,0.004752851711026616,108,0.10266159695817491,214,0.20342205323193915,0,0.0,327,0.3108365019011407,344,0.3269961977186312,17,323,4
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",SF3A1,10291,1052,4,0.0038022813688212928,3,0.0028517110266159697,120,0.11406844106463879,456,0.43346007604562736,0,0.0,579,0.5503802281368821,581,0.5522813688212928,2,577,2
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",U2AF1,7307,1052,2,0.0019011406844106464,8,0.0076045627376425855,224,0.21292775665399238,175,0.16634980988593157,1,0.0009505703422053232,408,0.38783269961977185,409,0.3887832699619772,1,407,1
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",U2AF2,11338,1052,2,0.0019011406844106464,22,0.02091254752851711,250,0.2376425855513308,153,0.14543726235741444,1,0.0009505703422053232,426,0.4049429657794677,426,0.4049429657794677,0,424,2
