geneSymbol,rank,tumour_acronym,N,any_alter_freq,mut_freq,any_cna_freq,amp_freq,deep_del_freq
PRPF8,2,OV,511,0.8317025440313112,0.005870841487279843,0.8317025440313112,0.021526418786692758,0.009784735812133072
PRPF8,3,KICH,65,0.7538461538461538,0.0,0.7538461538461538,0.0,0.0
PRPF8,4,LUSC,484,0.7396694214876033,0.022727272727272728,0.7355371900826446,0.0,0.004132231404958678
PRPF8,5,BRCA,1052,0.6539923954372624,0.010456273764258554,0.6482889733840305,0.0019011406844106464,0.0028517110266159697
LUC7L2,1,GBM,380,0.8552631578947368,0.0,0.8552631578947368,0.010526315789473684,0.0
LUC7L2,2,TGCT,149,0.697986577181208,0.0,0.697986577181208,0.0,0.0
LUC7L2,3,OV,511,0.6575342465753424,0.0,0.6575342465753424,0.08023483365949119,0.0019569471624266144
LUC7L2,4,SKCM,363,0.6556473829201102,0.0,0.6556473829201102,0.03581267217630854,0.0
LUC7L2,5,ACC,89,0.6404494382022472,0.0,0.6404494382022472,0.011235955056179775,0.0
DDX3X,1,OV,511,0.7377690802348337,0.003913894324853229,0.7377690802348337,0.009784735812133072,0.005870841487279843
DDX3X,2,KICH,65,0.7230769230769231,0.0,0.7230769230769231,0.0,0.0
DDX3X,3,ACC,89,0.6629213483146067,0.0,0.6629213483146067,0.0,0.0
DDX3X,4,UCS,56,0.6607142857142857,0.0,0.6607142857142857,0.0,0.0
DDX3X,5,SARC,253,0.5770750988142292,0.003952569169960474,0.5731225296442688,0.02766798418972332,0.003952569169960474
SUGP1,1,UCS,56,0.7678571428571429,0.0,0.7678571428571429,0.03571428571428571,0.0
SUGP1,2,OV,511,0.6790606653620352,0.005870841487279843,0.6731898238747553,0.05283757338551859,0.0019569471624266144
SUGP1,3,ACC,89,0.6741573033707865,0.0,0.6741573033707865,0.02247191011235955,0.0
SUGP1,4,LUSC,484,0.5743801652892562,0.022727272727272728,0.5681818181818182,0.008264462809917356,0.0
SUGP1,5,TGCT,149,0.5637583892617449,0.0,0.5637583892617449,0.0,0.0
PHF5A,1,OV,511,0.8747553816046967,0.0,0.8747553816046967,0.0,0.005870841487279843
PHF5A,2,UCS,56,0.8214285714285714,0.0,0.8214285714285714,0.017857142857142856,0.0
PHF5A,3,MESO,86,0.813953488372093,0.0,0.813953488372093,0.0,0.0
PHF5A,4,LUSC,484,0.6694214876033058,0.004132231404958678,0.6673553719008265,0.002066115702479339,0.0
PHF5A,5,TGCT,149,0.5771812080536913,0.0,0.5771812080536913,0.0,0.006711409395973154
RBM39,1,UCS,56,0.8214285714285714,0.0,0.8214285714285714,0.07142857142857142,0.0
